nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
Saus sambal,27.0,0.0,0.0,6.7,,42000;
Saus tomat,17.0,0.18,0.02,4.66,,17000;
Saus Teriyaki,15.0,0.0,0.0,4.0,,40500;
Chatime milk tea,302.0,1.5,13.0,44.5,,28000;
Chatime mango smoothie,228.0,0.5,0.5,55.5,,26000;
Chatime matcha red bean smoothie,384.0,4.5,10.5,67.0,,35500;
Daging kambing (segar),149.0,16.6,9.2,0.0,,23000;
Gulai kambing,126.0,4.2,9.4,6.2,,44000;
Kacang tanah sari,561.0,25.5,43.8,26.0,,41500;
Tempe pasar,150.0,14.0,7.7,9.1,,15500;
Diabetasol (vanilla malt),170.0,8.0,4.0,26.0,,9500;
Minyak wijen,881.0,0.2,99.7,0.0,,40000;
Indomie soto padang,330.0,8.0,14.0,44.0,,15000;
Batatas kelapa bakar,110.0,1.4,1.1,23.4,,34500;
Selai Nutella,200.0,2.0,12.0,23.0,,24500;
Peanut,567.0,25.8,49.24,16.13,,22500;
Kacang walnut,654.0,15.23,65.21,13.71,,40500;
Bubur sagu,167.0,0.2,4.0,33.0,,29000;
Promina smooth kacang hijau,210.0,8.0,4.5,35.0,,35000;
Prunes (kering),240.0,2.18,0.38,63.88,,5000;
Minyak ikan,902.0,0.0,100.0,0.0,,38000;
Minyak kacang tanah,902.0,0.0,100.0,0.0,,30000;
Salak pondoh,87.0,0.8,0.4,20.1,,17000;
Lumpia Sayur,63.0,1.99,2.84,7.44,,6000;
Lumpia ayam,65.0,3.03,2.61,7.12,,29000;
Hokben Bento special 1,612.0,24.2,23.6,74.8,,20500;
Hokben paket B,522.0,26.3,22.4,52.8,,26000;
Hoka hemat 4,413.0,20.3,15.3,47.2,,9000;
Hokben Paket C,625.0,35.4,24.1,64.0,,40500;
Kwark / Bagot,242.0,19.0,17.0,3.0,,30500;
san remo pasta sauce bolognese mushroom,77.0,2.1,3.6,8.6,,17500;
Pasta La fonte spaghetti with bolognese sauce,420.0,10.0,0.0,93.0,,39500;
La pasta royale cheese bolognese,340.0,10.0,6.0,64.0,,62500;
MR.P Garlic peanut,240.0,6.0,17.0,14.0,,23500;
Mr. Bread Roti manis pandan coklat srikaya,330.0,7.0,11.0,50.0,,26000;
Wine,83.0,0.07,0.0,2.72,,32000;
Sonice Chicken wing,220.0,20.0,14.0,4.0,,26000;
Pizza hut super supreme,410.0,16.0,22.0,37.0,,12000;
Beetroot (mentah),43.0,1.61,0.17,9.56,,11500;
French fries 2000 dengan saos sambal colek,45.0,0.0,1.5,8.0,,39500;
Saori Saus Mentega,0.0,0.0,0.0,2.0,,9500;
Pizza hut super supreme personal,170.0,7.0,9.0,17.0,,8000;
Super bihun kuah,190.0,4.0,2.5,36.0,,13500;
Super bihun goreng,250.0,4.0,5.0,46.0,,16500;
Burger Carl's Jr super star with cheese,920.0,48.0,56.0,59.0,,35500;
Coca cola,136.0,0.26,0.07,35.18,,12000;
Gulai pakis,143.0,4.0,11.4,6.0,,37000;
Hydro coco,60.0,0.0,0.0,18.0,,17500;
Tim tam chocolate,150.0,2.0,7.0,21.0,,11500;
Loacker chocolate,511.0,7.7,26.0,59.0,,7000;
Tango chocolate,100.0,1.0,4.0,14.0,,42500;
Klepon,366.0,4.75,9.34,65.82,,30500;
Geplak,350.0,1.4,14.4,53.6,,37000;
Yakult,50.0,1.0,0.0,11.0,,39500;
Cheesecake Factory ultimate red velvet cake cheesecake,1570.0,14.0,116.0,125.0,,75500;
Susu kedelai V Soy Multigrain,169.0,6.1,6.9,20.4,,8000;
Multigrain Bread,240.0,8.0,6.0,38.0,,29000;
Beberuk,65.0,1.1,5.2,3.5,,19500;
Sagu kasbi segar,230.0,0.6,0.2,56.5,,44500;
Tauji cap singa,277.0,9.1,4.7,49.6,,9500;
So good Almond milk original,74.0,1.4,3.4,9.0,,6000;
Susu almond So good Almond Milk unsweetend,41.0,1.4,3.5,0.8,,18500;
Pocky Chocolate,230.0,3.0,10.0,32.0,,37000;
Pocky Cookies dan cream,210.0,3.0,10.0,26.0,,10000;
Pocky Strawberry,220.0,3.0,10.0,31.0,,35500;
Buavita royale sunshine carrot,120.0,0.0,0.0,28.0,,9000;
Buavita royale chloro broccoli,120.0,0.0,0.0,29.0,,28500;
Ades,0.0,0.0,0.0,0.0,,41500;
Ademsari chingku,110.0,0.0,0.0,27.0,,32500;
Sprite (kaleng),100.0,0.0,0.0,25.0,,29000;
Chicken teriyaki,168.0,13.0,9.6,7.5,,9000;
Mcdonald Cheeseburger,300.0,15.0,12.0,33.0,,72000;
Mcdonald Big mac burger,540.0,25.0,28.0,46.0,,7500;
Mcdonald Hamburge,250.0,13.0,8.0,31.0,,9500;
Lovy cookies chocobutter,150.0,2.0,8.0,20.0,,45000;
Lovy cookies coffeeccino,150.0,2.0,7.0,20.0,,19000;
Susu bebelove 6-12bln,140.0,3.0,6.0,18.0,,39000;
Promina milky beras merah,210.0,8.0,4.5,35.0,,11500;
Promina pisang susu,210.0,8.0,4.5,35.0,,11500;
Maestro light Mayonnaise,50.0,0.0,5.0,7.0,,20000;
La Fonte Fettuccine-30 Pasta,0.0,8.0,0.0,45.0,,40000;
sambal pecel,220.0,9.0,10.0,23.0,,30500;
Cerebrofort Marine Gummy Strawberry,0.0,1.0,0.0,8.0,,17500;
Pecel sayur dengan lauk,408.0,25.17,25.18,27.07,,17500;
Teh celup sosro,0.0,0.0,0.0,0.0,,39500;
teh cap dandang black tea,0.0,0.0,0.0,0.0,,21500;
Balichong,152.0,13.2,0.8,22.9,,42500;
Batatas kelapa kukus,92.0,1.2,0.3,21.0,,16500;
Kuaci Rebo origial,110.0,5.0,9.0,3.0,,41500;
KFC Original recipe dada,390.0,39.0,21.0,11.0,,41500;
KFC Original recipe paha bawah,130.0,12.0,8.0,4.0,,32000;
KFC Original recipe paha atas,280.0,19.0,19.0,8.0,,12000;
KFC Original recipe sayap,130.0,10.0,8.0,3.0,,43000;
Kue bangket,388.0,1.5,1.2,80.3,,28500;
Cheesecake Factory carrot cake,1710.0,15.0,122.0,146.0,,78000;
Tummy yogurt mango carrot,150.0,3.0,2.0,29.0,,12000;
Eskrim cornetto chocolate,260.0,3.0,12.0,34.0,,17000;
Coklat Lindt 70% Cocoa smooth dark,250.0,3.0,19.0,17.0,,41000;
Teh Kotak Less Sugar,70.0,0.0,0.0,19.0,,31500;
Granola creation tropical fruit and nuts,162.0,7.0,5.0,23.0,,38000;
Go Natural fruit and nut delight,230.0,6.2,13.5,20.7,,27000;
Carman's fruit and nut,183.0,4.1,6.7,25.1,,15500;
Sonice Chicken Stick,250.0,13.0,17.0,13.0,,40000;
Sonice Chicken karage,300.0,12.0,18.0,21.0,,44500;
lontong,144.0,2.76,0.23,31.76,,34000;
Cimory Soyamilk,260.0,10.0,6.0,42.0,,28000;
Cimory yogurt set low fat,60.0,5.0,1.5,8.0,,25500;
Cimory yogurt drink,180.0,6.0,2.0,32.0,,41000;
Salak bali,57.0,0.5,0.1,13.6,,26500;
Salak medan,55.0,0.4,0.2,12.8,,29500;
Salak,77.0,0.4,0.0,20.9,,32000;
Rujak cingur,153.0,11.3,8.4,8.0,,33000;
kopi kapal api special mix,100.0,1.0,1.0,23.0,,26000;
WRP truil bar,80.0,1.0,3.5,14.0,,45000;
WRP deli chips,210.0,1.0,11.0,26.0,,21000;
Arwan sirsir,277.0,2.4,25.0,10.7,,42000;
Sirsak,65.0,1.0,0.3,16.3,,41000;
Gula putih / Gula Pasir,394.0,0.0,0.0,94.0,,19000;
Sirup,213.0,0.0,0.0,55.0,,29500;
yoghurt cimory,180.0,6.0,2.0,36.0,,41000;
Kelapa parut,283.0,3.0,27.0,10.0,,21500;
Lays krim dan bawang,110.0,2.0,6.0,11.0,,28500;
Jagung titi,374.0,9.4,2.2,79.1,,34500;
Del Monte Barbaque Sauce (250 g),60.0,0.0,0.0,14.0,,34500;
Kacang belimbing rebus,204.0,16.9,8.8,17.5,,31000;
Tempe kacang belimbing,212.0,17.5,10.0,12.9,,5000;
Nutrisari Es Rujak,50.0,0.0,0.0,12.0,,7500;
Rujak lontong,243.0,11.98,12.3,24.7,,23500;
Belitung kukus,145.0,1.2,0.4,34.2,,44000;
Enting-enting gepuk kacang tanah,524.0,13.3,29.2,52.0,,6000;
Pisang kepok rebus,145.0,1.55,0.44,37.91,,39000;
Meiji Plain Crackers with Oat,120.0,3.0,3.5,19.0,,14000;
Meiji Plain Crackers (isi 4 bungkus),120.0,3.0,3.5,19.0,,25000;
Barongko,159.0,3.1,5.8,23.5,,5500;
Saladstop Omega 3 baby,391.3,17.3,28.7,18.6,,24500;
Blue Band,90.0,0.0,10.0,0.0,,19500;
Gilus mix sensasi aroma pandan (isi 10 sachet),90.0,1.0,0.5,21.0,,19000;
Sasa Santan Kelapa,35.0,0.0,4.0,1.0,,25500;
Sasa Santan Kelapa Coconut Cream,35.0,0.0,4.0,1.0,,6500;
Sasa Tepung Bakwan,0.0,1.0,0.0,8.0,,23000;
Goldenfil Choco Crunchy,30.0,1.0,6.0,13.0,,41500;
san remo sauce tomato basil,96.0,2.0,4.6,11.5,,38500;
Silky Pudding Coklat,130.0,3.0,3.5,23.0,,41500;
Kacang kedelai rebus,189.0,20.2,8.2,12.7,,42500;
Emping komak,355.0,17.8,4.6,60.7,,42500;
Chatime hazelnut milk tea,244.0,1.0,10.5,36.0,,36500;
Chatime hazelnut milk tea (no sugar),185.0,1.0,11.0,20.5,,52500;
gastone lago poker wafer with hazelnut cream,130.0,1.0,6.0,17.0,,53500;
Mom's Recipe Silky Pudding rasa peach (155 g),430.0,9.0,10.0,76.0,,14000;
Mom's Recipe Silky Pudding rasa biskuit (155 g),440.0,7.0,13.0,75.0,,22500;
Mom's Recipe Silky Pudding rasa cokelat (155 g),130.0,3.0,3.5,23.0,,29000;
Mom's Recipe Silky Pudding rasa permen karet (155 g),130.0,3.0,3.0,24.0,,43000;
Kewpie mayonais original,100.0,1.0,11.0,0.0,,21500;
Kewpie Thousand island,70.0,1.0,6.0,4.0,,20500;
Kewpie Tomat pedas,80.0,1.0,6.0,5.0,,22000;
Kewpie Wijen sangrai,90.0,1.0,7.0,5.0,,24500;
Happytos,144.0,2.0,7.0,16.0,,11000;
japato potato chips rasa happy honey butter,100.0,1.0,5.0,13.0,,83500;
Happy Tos Corn Chips,130.0,2.0,6.0,16.0,,42500;
Yoshinoya Beef bowl (Large bowl),1040.0,43.0,38.0,131.0,,39500;
Yoshinoya Teriyaki (Large bowl),1140.0,66.0,25.0,165.0,,26500;
Sukun muda,119.0,1.4,0.2,28.1,,36500;
Kacang tanah sangan tanpa selaput,559.0,26.9,44.2,23.6,,16500;
Kenari kering,657.0,15.0,66.0,13.0,,37000;
Jamur encik,296.0,9.4,0.1,62.0,,43000;
Curry Croquette,180.0,1.0,9.0,21.0,,44000;
Jantung pisang segar,32.0,1.2,0.3,7.1,,24500;
Ayam brand tuna dalam air,50.0,13.0,0.0,0.0,,47500;
WRP lose weight meal replacement,15.0,14.0,1.5,35.0,,10000;
Ayam bacem,147.0,13.7,6.7,8.3,,8500;
Tahu bacem,24.0,1.9,1.47,1.09,,27000;
cemcem pilus rasa keju panggang,100.0,1.0,5.0,13.0,,28000;
Pronas kornet ayam,70.0,5.0,3.0,5.0,,33500;
Bentul kukus,71.0,2.3,0.3,15.4,,32500;
Esprecielo caramel macchiato,110.0,1.0,4.0,17.0,,13000;
Starbucks Espresso Brownie,370.0,4.0,21.0,43.0,,20000;
Piatos iga penyet,60.0,0.0,3.5,7.0,,44500;
piattos iga penyet,60.0,1.0,7.0,13.0,,5500;
Pia 100 Rasa Kacang Hijau,100.0,2.0,3.0,17.0,,30000;
japato potato chips rasa rumput laut,150.0,1.0,10.0,15.0,,8500;
Pork rib,211.0,19.9,12.01,0.0,,25000;
Kacang tanah sangan,560.0,29.5,43.0,24.1,,39500;
Frozen food Puff Pastry Sheet,200.0,3.0,13.0,18.0,,7500;
Cheetos Puffs,160.0,2.0,10.0,16.0,,26000;
Promina puff rasa blueberry,80.0,1.0,3.0,10.0,,40500;
Floridina Orange Pulp & Coco Bitz,90.0,0.0,0.0,21.0,,42000;
Minute Maid Pulpy rasa jambu,0.0,0.0,0.0,23.0,,15000;
Minute Maid Pulpy rasa jeruk,130.0,0.0,0.0,34.0,,26500;
Minute Maid Pulpy rasa anggur dengan nata de coco,0.0,0.0,0.0,28.0,,38000;
kentang rebus,76.0,1.37,0.14,17.72,,19500;
Jawara cabai tabur jambal,10.0,0.0,0.0,2.0,,15000;
Jawara cabai tabur bawang goreng,10.0,0.0,0.0,2.0,,8500;
Red Bull,112.0,0.0,0.0,28.0,,30500;
Sushi red bull roll,484.0,28.0,7.5,72.0,,34000;
OREO SOFT CAKE,80.0,1.0,5.0,8.0,,44000;
Koko krunch,110.0,2.0,1.0,23.0,,42500;
Krupuk udang Ny. Siok (mentah),70.0,2.0,0.0,16.0,,38000;
Cookies Oat krunch coklat gelap,120.0,2.0,4.5,18.0,,11000;
Kacang tunis,351.0,12.2,1.2,72.9,,19500;
Rica-rica taipa,49.0,1.6,0.3,10.0,,33500;
Babi hutan masak rica,491.0,24.6,16.3,0.2,,24000;
Folabee rasa coklat,25.0,3.0,5.0,26.0,,31000;
Pop Ice Rasa Cokelat,10.0,1.0,1.0,22.0,,14500;
Matcha Tea Latte,190.0,6.5,4.0,31.5,,13500;
Susu Slim dan fit coklat,200.0,15.0,3.0,30.0,,27000;
Susu Slim dan fit vanila,200.0,15.0,2.5,30.0,,10500;
Fitmee mie goreng Korea,150.0,1.0,4.0,29.0,,36000;
Fitmee rasa soto,60.0,0.0,2.0,10.0,,42500;
Lema / rebung asam,15.0,1.0,0.4,1.9,,8000;
san remo pasta sauce spaghetti (mentah),457.0,15.0,2.5,90.0,,41000;
Pasta La fonte spaghetti with mushroom sauce,340.0,8.0,4.0,60.0,,31000;
Pasta La fonte spaghetti with chicken sauce,340.0,10.0,8.0,57.0,,22000;
tini mini biti,60.0,1.0,2.5,8.0,,10500;
Kacang atom,533.0,27.8,38.1,28.8,,31000;
Ikan Katombo asin,162.0,31.7,2.8,0.3,,38000;
Yogurt greek yummy strawberry,120.0,8.0,3.0,16.0,,33500;
Mayumi saus creamy serbaguna rasa pedas (180 g),100.0,0.0,10.0,3.0,,13500;
Yummy bites Originak,50.0,2.0,1.0,8.0,,14000;
Soboro Bread,300.0,7.0,7.0,56.0,,36500;
Beras siger,344.0,1.1,0.2,28.3,,41500;
Doritos Nacho Cheese,100.0,2.0,5.0,12.0,,65000;
Teh botol sosro tawar,0.0,0.0,0.0,0.0,,31000;
Keju Castello Brie,73.0,5.0,6.0,0.03,,42500;
Keju Castello camembert,73.0,5.0,6.0,0.03,,18000;
Diabetasol sweetener,0.0,0.0,0.0,1.0,,42000;
MILO cereal,110.0,2.0,1.0,23.0,,39500;
Origo coffe cereal latte,238.0,6.8,6.0,38.69,,21000;
Ayam brand chilli tuna,100.0,8.0,6.0,3.0,,40500;
Baked Potato Chili'n cheese,460.0,19.0,11.0,71.0,,65500;
Chili Cheese Fries ( 1 porsi),500.0,16.0,25.0,53.0,,47000;
hilo teen,25.0,6.0,2.5,33.0,,12500;
Gemez Enaak Snack Mi,40.0,2.0,4.0,13.0,,32000;
Pankreas kambing (mentah),152.0,14.84,9.82,0.0,,33000;
Domino Pizza Beef Pepperoni feast,370.0,16.0,17.0,36.0,,67000;
TEH KOTAK JASMINE TEA,100.0,0.0,0.0,26.0,,17500;
Sayur lilin-terubuk,36.0,2.7,0.7,4.8,,26000;
Yupi Gummy Pizza,0.0,1.0,0.0,12.0,,27500;
Waluh balamak,45.0,0.8,0.9,8.1,,44000;
Brongkos,141.0,15.3,3.3,12.6,,6500;
Kuaci Rebo salted caramel,50.0,2.0,4.0,1.0,,25000;
Wajik,152.0,1.99,0.68,34.2,,16000;
Tekokak kering,302.0,8.3,1.7,72.6,,28000;
Ikan Papuyu bakar,152.0,17.6,6.1,6.7,,34000;
san remo pasta sauce wholemeal (mentah),452.0,19.0,4.0,78.0,,14500;
san remo pasta sauce spinach fettuccine(mentah),457.0,15.0,2.5,89.0,,34000;
Ongol-ongol sagu,111.0,0.3,2.7,21.2,,8000;
Indomie salted Egg,480.0,11.0,25.0,53.0,,20500;
Sirup Sunquick Mango,45.0,0.0,0.0,10.0,,18000;
Susu kental tak manis,138.0,7.0,7.9,9.9,,29500;
Biji wijen,573.0,17.73,49.67,23.45,,15000;
Domino Pizza Extravaganza,390.0,17.0,18.0,38.0,,10500;
Pork Belly,518.0,9.34,53.01,0.0,,12500;
Nugget Ayam Akumo,340.0,13.0,19.0,30.0,,8500;
NUtrijell Balanced Color Delima,0.0,0.0,0.0,3.0,,21000;
Ellenka Fiber Creme,10.0,0.0,1.0,2.0,,14500;
Teh pucuk harum,140.0,0.0,0.0,36.0,,24000;
Sambal cuk original cabe,160.0,1.0,13.0,9.0,,6000;
Sambal cuk ikan roa asap,220.0,4.0,20.0,7.0,,27500;
Ladaku Merica Bubuk,10.0,0.0,0.0,2.0,,12500;
gerry salut malkist rasa chocolate,130.0,2.0,5.0,19.0,,25000;
Lobster,77.0,16.52,0.75,0.0,,34500;
Teh frestea,160.0,0.0,0.0,40.0,,36000;
Baked lotus paste mooncake,191.0,2.78,8.66,25.38,,6500;
Sushi hand roll unagi,152.0,9.0,6.0,14.0,,26500;
Sushi hand roll shrimp,90.0,8.0,2.0,9.0,,47500;
Coklat Ritter Sport Whole Almonds,140.0,3.0,9.0,13.0,,18500;
Quaker 3 in 1,120.0,1.0,3.0,22.0,,41000;
Heavenly Kitchen Thai Tea Latte,100.0,1.0,2.5,19.0,,39500;
Milkita Assorted Milk Candy,15.0,0.0,1.5,14.0,,22000;
Lempog durian,320.0,3.5,5.7,63.7,,41000;
Saladstop Go Geisha,259.2,13.6,9.6,31.2,,36500;
beng beng shake it,45.0,1.0,2.5,6.0,,14500;
F1 Shake Mix,100.0,9.0,1.0,13.0,,6000;
Tepung bumbu kobe kentucky super crispy,70.0,2.0,0.0,14.0,,29500;
Tepung bumbu kobe bakwan & perkedel,70.0,2.0,0.0,15.0,,43000;
Tepung bumbu kobe pisang goreng,70.0,1.0,0.0,16.0,,39500;
Tepung bumbu kobe bumbu kalasan,70.0,0.0,0.0,15.0,,8000;
Tepung bumbu kobe tempe goreng,70.0,2.0,0.0,14.0,,21500;
Haverjoy Havermix Instant Oats & Choco Chips,25.0,4.0,3.0,25.0,,16000;
Haverjoy Rolled Oats,140.0,4.0,3.5,24.0,,9000;
Susu kedelai V Soy,188.0,8.0,8.5,21.0,,23500;
Soyjoy,150.0,5.0,9.0,12.0,,18000;
Soylicious sweetened,70.0,7.0,3.5,6.0,,23000;
Keripik singkong bumbu,481.0,2.2,19.7,73.6,,8500;
Serimping talas kebumen,478.0,2.5,21.2,69.2,,35500;
Cadbury Dairy Milk Oreo,100.0,2.0,11.0,17.0,,5500;
Top Avocado Coffee,90.0,1.0,3.0,15.0,,9500;
Anlene (cokelat),135.0,7.0,3.0,21.0,,30500;
Energen sereal cokelat,130.0,1.0,3.5,23.0,,23000;
Nutrive Benecol,60.0,1.0,2.0,9.0,,28500;
Sale kesemek,296.0,1.1,0.6,71.4,,12000;
buah pir / pear,57.0,0.36,0.14,15.23,,6000;
Ikan salmon,179.0,19.93,10.43,0.0,,64500;
A&W Root beer float,350.0,2.0,5.0,77.0,,20000;
Indomie tengkleng,350.0,9.0,14.0,45.0,,30000;
V-soy Multigrain,138.0,5.4,6.0,15.2,,38500;
Jules drestrooper speculoos,545.0,3.0,35.0,53.0,,11500;
Kacang ranti polong,37.0,3.1,0.2,7.9,,25500;
Jambu biji putih tidak berbiji,61.0,0.9,0.3,15.4,,37000;
Bluberry,317.0,2.5,2.5,80.0,,44000;
Selai Smucker's Blueberry,50.0,0.0,0.0,13.0,,40000;
Gilus mix aroma vanila (isi 10 sachet),90.0,1.0,0.5,21.0,,11000;
Nagasari,154.0,2.09,2.87,30.25,,17000;
Petis ikan,165.0,20.0,0.2,20.8,,18000;
Petis udang kering,345.0,23.8,1.4,59.3,,38000;
Saus Curry,70.0,1.0,4.5,7.0,,35000;
Bihunku white curry,220.0,2.0,6.0,38.0,,41500;
Steamed Beancurd Sheet Roll,150.0,6.2,12.0,3.0,,6500;
Froot Loops,120.0,2.0,0.5,26.0,,7500;
Mcfloat,107.0,1.04,11.03,1.36,,21000;
Coolant minuman,100.0,0.0,0.0,25.0,,39500;
Etira singkong stik,170.0,1.0,1.0,40.0,,25000;
Kacang merah kering,314.0,22.1,1.1,56.2,,27000;
Sariroti roti sobek coklat,370.0,7.0,13.0,56.0,,37000;
Roti Mr.Bread sobek keju,200.0,5.0,6.0,33.0,,31000;
Roti Sobek Cokelat Keju Sari Roti,350.0,9.0,12.0,51.0,,15500;
YUPI BOLICIOUS VERY STRAWBERRY,50.0,1.0,0.0,12.0,,6000;
Yupi Fruit Bites,0.0,1.0,0.0,12.0,,27500;
chicken nugget,297.0,15.58,18.82,16.32,,28000;
belfoods chicken Nugget crunch,290.0,15.0,19.0,15.0,,28500;
Champ Combination Chicken Nugget,90.0,12.0,20.0,8.0,,25000;
Selada rebus,19.0,2.7,0.2,2.9,,20500;
Swallow Globe Agar Agar Bubuk Vanilla,5.0,0.0,0.0,2.0,,38000;
susu anlene gold plus Hi-Calsium,10.0,6.0,1.0,20.0,,23000;
A&W,170.0,0.0,0.0,43.0,,9000;
A&W root beer,290.0,0.0,0.0,78.0,,22000;
A&W burger mozza,550.0,25.0,33.0,43.0,,30500;
A&W Burger cheeseburger,398.0,15.0,21.0,39.0,,40500;
V-soy Soya bean Milk Low Sugar,56.0,2.7,2.7,5.2,,20000;
Prenagen Esensis,150.0,6.0,1.0,29.0,,15000;
Kacang tanah rebus dengan kulit,360.0,13.5,31.2,12.8,,27500;
Abon,280.0,9.2,28.4,0.0,,30500;
Abon haruwan,513.0,23.7,37.0,21.3,,14000;
Agar-agar,0.0,0.0,0.2,0.0,,11000;
Akar tonjong segar,45.0,1.1,0.4,10.8,,30000;
Aletoge segar,37.0,4.4,0.5,3.8,,39000;
Alpukat segar,85.0,0.9,6.5,7.7,,20000;
Ampas Tahu,414.0,26.6,18.3,41.3,,32500;
Anak sapi daging gemuk segar,184.0,18.8,14.0,0.0,,21000;
Anak sapi daging kurus segar,174.0,19.6,10.0,0.0,,42500;
Anak sapi daging sedang segar,190.0,19.1,12.0,0.0,,15000;
Andaliman segar,99.0,4.6,1.0,18.0,,33000;
Andewi,25.0,1.6,0.2,5.3,,25500;
Anggur hutan segar,30.0,0.5,0.2,6.8,,44500;
Angsa,354.0,16.4,31.5,0.0,,26500;
Anyang sayur,126.0,3.4,7.9,10.3,,34500;
Apel,58.0,0.3,0.4,14.9,,40500;
Apel malang segar,57.0,0.5,0.4,12.8,,13500;
Arbei,37.0,0.8,0.5,8.3,,18500;
Ares sayur,113.0,0.9,7.2,11.2,,14000;
Arrowroot segar,102.0,1.0,0.2,24.1,,43000;
Asam kandis segar,75.0,0.2,1.1,16.1,,40500;
Asam masak di pohon,239.0,2.8,0.6,62.5,,18500;
Asam payak segar,135.0,0.8,0.4,32.1,,14000;
Asan kandis kering,261.0,0.9,1.6,63.3,,25000;
Asinan Bogor sayuran,98.0,3.9,2.6,14.8,,39500;
Ayam,302.0,18.2,25.0,0.0,,14000;
Ayam  goreng Kentuckysayap,297.0,35.9,15.2,1.6,,33000;
Ayam ampela goreng,270.0,32.3,11.2,9.9,,14500;
Ayam dideh/darah segar,75.0,13.8,1.9,0.7,,42000;
Ayam goreng church texa sayap,295.0,34.0,16.0,1.5,,15500;
Ayam goreng church texas dada,338.0,35.2,20.6,0.4,,26000;
Ayam goreng kalasan paha,275.0,37.4,12.2,1.3,,9500;
Ayam goreng kentucky dada,298.0,34.2,16.8,0.1,,41500;
Ayam goreng Kentucky paha,286.0,32.1,16.1,1.1,,40000;
Ayam goreng mbok berek dada,295.0,39.2,13.6,1.0,,13000;
Ayam goreng paha,287.0,31.0,15.7,1.7,,17000;
Ayam goreng pasundan dada,246.0,37.9,9.0,0.7,,26000;
Ayam goreng pasundan paha,245.0,33.1,11.4,0.3,,14500;
Ayam goreng pioneer dada,295.0,37.4,14.7,0.6,,7000;
Ayam goreng sukabumi dada,244.0,36.7,9.2,1.0,,26000;
Ayam goreng sukabumi paha,283.0,35.7,14.3,0.5,,32000;
Ayam hati segar,261.0,27.4,16.1,1.6,,32000;
Ayam taliwang masakan,264.0,18.2,20.1,2.7,,25000;
Ayam usus goreng,473.0,45.2,26.3,13.9,,34000;
Babat,113.0,17.6,4.2,0.0,,23000;
Babi daging gemuk segar,453.0,11.9,45.0,0.0,,15000;
Babi daging kurus segar,371.0,14.1,35.0,0.0,,17500;
Babi ginjal segar,110.0,16.3,4.6,0.8,,12000;
Babi hati segar,129.0,19.7,4.8,1.7,,13500;
Babi hutan masak rica masakan,491.0,24.6,16.3,0.2,,17000;
Bacang,102.9,3.3,2.7,16.3,,6500;
Baje,129.0,1.9,6.6,15.6,,22500;
Bakpia kue,272.0,8.7,6.7,44.1,,44500;
Bakung segar,27.0,2.0,0.2,4.2,,20000;
Baligo,13.0,0.4,0.2,3.0,,44000;
Batang Tading,137.0,4.3,4.8,19.1,,20000;
Batatas gembili segar,76.0,1.1,0.9,16.0,,20000;
Batatas kelapa ubi bakar,110.0,1.4,1.1,23.4,,6500;
Batatas kelapa ubi kukus,92.0,1.2,0.3,21.0,,28500;
Batatas kelapa ubi segar,89.0,1.1,0.1,21.0,,10000;
Batatas tali ubi rebus,182.0,2.4,0.4,42.2,,36000;
Bawang Bombay,45.0,1.4,0.2,10.3,,14000;
Bawang Merah,39.0,1.5,0.3,0.2,,38000;
Bawang Putih,95.0,4.5,0.2,23.1,,44500;
Bayam Merah,51.0,4.6,0.5,10.0,,35500;
Bayam merah segar,41.0,2.2,0.8,6.3,,29500;
Bayam segar,36.0,3.5,0.5,6.5,,17000;
Bayam tumis + oncom,102.0,3.7,6.7,6.9,,30500;
Bayam tumis bersantan,48.0,1.4,4.2,2.6,,37000;
Bebek (itik),326.0,16.0,28.6,0.0,,36000;
Bebek alabio daging segar,303.0,11.3,27.0,3.7,,14000;
Bebek daging goreng,300.0,24.0,20.7,4.5,,15500;
Beef teriyaki masakan,151.0,8.6,3.1,22.3,,47500;
Beef yakiniku masakan,132.0,9.8,1.1,20.7,,49000;
Bekasam,116.0,11.9,4.9,6.1,,6000;
Bekasang,78.0,11.4,2.0,3.6,,22500;
Belibis daging segar,131.0,20.2,4.3,2.8,,32000;
Belimbing,36.0,0.4,0.4,8.8,,19500;
Belitung talas kukus,145.0,1.2,0.4,34.2,,18500;
Belut goreng,417.0,25.9,19.4,32.0,,18500;
Belut segar,70.0,14.6,0.8,1.0,,9500;
Belutlaut segar,93.0,12.8,1.5,6.1,,16500;
Bengkuang,55.0,1.4,0.2,12.8,,34000;
Bentul (Komba)  talas segar,98.0,1.6,0.7,20.9,,37000;
Bentul talas kukus,71.0,2.3,0.3,15.4,,26500;
Beras Giling,360.0,6.8,0.7,78.9,,21000;
Beras Giling masak (nasi),178.0,2.1,0.1,40.6,,33000;
Beras giling mentah,357.0,8.4,1.7,77.1,,31500;
Beras giling var pelita mentah,369.0,9.5,1.4,77.1,,7500;
Beras giling var rojolele mentah,357.0,8.4,1.7,77.1,,45000;
Beras hitam mentah,351.0,8.0,1.3,76.9,,30000;
Beras jagung kuning kering mentah,358.0,5.5,0.1,82.7,,25500;
Beras jagung putih kering mentah,307.0,4.8,0.1,71.8,,31000;
Beras Ketan Hitam,356.0,7.0,0.7,78.0,,42500;
Beras Ketan Hitam kukus,181.0,4.0,1.2,37.3,,44000;
Beras Ketan Hitam tape,166.0,3.8,1.0,34.4,,40000;
